16916.lname,Messmre,Messmer
8248.city,LAKE CORORANT,LAKE CORMORANT
17959.singleexemp,y2100,2100
696.fname,Kaziheng,Kaizheng
9883.rate,00.,0.0
13168.marriedexemp,***,0
2688.singleexemp,,0
6047.maritalstatus,***,S
8866.maritalstatus,***,S
10642.state,lDC,DC
17454.city,SYLA,SYLVA
9211.singleexemp,,0
67.gender,cF,F
18764.marriedexemp,***,0
11089.singleexemp,***,0
15857.childexemp,***,0
10237.childexemp,,0
11213.singleexemp,c0,0
14855.city,CARSON CIYT,CARSON CITY
14999.maritalstatus,sS,S
16487.singleexemp,***,0
12527.fname,Carly,Charly
17242.haschild,***,N
18983.haschild,***,N
17488.state,A,GA
2735.zip,36l442,36442
5619.gender,mF,F
17398.haschild,***,N
3349.salary,5s0000,50000
19824.childexemp,r0,0
8633.childexemp,,0
19416.gender,gF,F
16023.city,BzIRMINGHAM,BIRMINGHAM
19672.maritalstatus,***,M
8759.maritalstatus,,S
13392.salary,25f000,25000
12188.marriedexemp,,0
13884.gender,,M
2763.lname,Berrgeb,Berregeb
3297.city,DOWNER SGROVE,DOWNERS GROVE
11206.fname,Carls,Carles
10283.haschild,***,N
14965.childexemp,***,0
1292.singleexemp,02,20
9750.phone,97-2575,979-2575
17118.salary,20500,25000
10865.childexemp,j0,0
19765.marriedexemp,o0,0
18323.singleexemp,f0,0
17204.childexemp,b0,0
13353.state,pMD,MD
16724.maritalstatus,***,M
10441.maritalstatus,wM,M
5374.marriedexemp,z0,0
12231.childexemp,z0,0
13310.lname,Drery,Derry
14839.marriedexemp,,0
7199.state,CD,DC
12864.zip,54634,54643
4363.areacode,022,202
13539.childexemp,00,400
3099.maritalstatus,cS,S
16783.marriedexemp,***,0
17162.haschild,yN,N
17826.gender,,F
12702.marriedexemp,***,0
15865.rate,.95,5.95
9884.gender,hM,M
83.maritalstatus,***,S
16516.state,L,IL
7158.city,zLLANO,LLANO
12918.childexemp,c0,0
12144.marriedexemp,,0
681.city,HCIKSVILLE,HICKSVILLE
15368.lname,Dippoldpsmann,Dippoldsmann
7430.childexemp,3300***,3300
19798.rate,.0,0.0
8057.state,D,ID
4293.maritalstatus,***,S
17728.gender,,F
3063.fname,Itlya,Ilya
13666.salary,35k000,35000
5963.haschild,***,Y
12263.maritalstatus,hS,S
5664.zip,o56181,56181
2.fname,Nki,Nik
15492.marriedexemp,,0
18380.singleexemp,***,0
5026.city,ATKINpSON,ATKINSON
14071.state,sRI,RI
12915.state,C,DC
12556.gender,wF,F
2901.fname,Sedhil,Sendhil
17825.rate,53.,5.3
15961.lname,Prabhrakar,Prabhakar
11040.state,RbI,RI
18239.maritalstatus,***,M
17253.lname,Geseg,Gecseg
13135.salary,1500,15000
18723.salary,5000,75000
4792.singleexemp,***,0
4636.marriedexemp,***,0
5513.maritalstatus,yS,S
17731.gender,,F
12212.state,H,OH
2997.city,LUBBCOK,LUBBOCK
3008.rate,44.,4.4
15952.city,BcICKNELL,BICKNELL
13949.marriedexemp,,0
10316.haschild,dY,Y
14751.fname,ngel,Angel
14076.zip,9609,29609
4390.haschild,,N
19626.areacode,r765,765
15013.areacode,780,870
9085.city,AtIKEN,AIKEN
19029.singleexemp,,0
8885.salary,8000d0,80000
6526.city,WASHNGTON,WASHINGTON
13305.areacode,01,401
8099.marriedexemp,,0
8184.childexemp,a0,0
1455.city,ELLIhCOTT CITY,ELLICOTT CITY
4603.marriedexemp,800,1800
842.phone,473-7027,473-7207
9035.state,C,DC
18287.singleexemp,e0,0
13712.rate,0m.0,0.0
10767.marriedexemp,a0,0
13920.state,D,ID
18075.gender,***,F
15334.phone,20-47741,204-7741
15783.zip,17653,71653
16458.fname,Constanrce,Constance
15487.phone,817-933a4,817-9334
14736.state,DI,ID
4425.haschild,tN,N
15368.marriedexemp,,0
1781.rate,y4.3881097,4.3881097
6518.childexemp,***,0
11498.childexemp,j0,0
10804.zip,1836,1863
8256.state,IW,WI
5998.rate,.0,0.0
12443.lname,Engelrt,Englert
16716.city,YOUGSTOWN,YOUNGSTOWN
16656.singleexemp,***,0
18700.lname,Baarri,Bayarri
19606.salary,500m0,5000
17871.city,SUMIMT,SUMMIT
16776.childexemp,3300***,3300
18700.maritalstatus,pS,S
12946.haschild,,Y
8396.rate,6.4f5,6.45
2730.childexemp,p0,0
12733.maritalstatus,***,M
3600.salary,400y00,40000
18963.gender,,M
4140.salary,1000,10000
12874.state,DwC,DC
7780.state,YK,KY
4203.lname,Barachnii,Barachini
3398.zip,5z8204,58204
14535.rate,0.g0,0.0
5505.state,TiX,TX
14225.maritalstatus,,M
9864.gender,pF,F
18489.salary,l5000,5000
3597.city,aTHAYER,THAYER
11946.zip,21r670,21670
210.singleexemp,***,0
2304.gender,lF,F
10639.singleexemp,v2000,2000
16578.city,ELLEVILLE,BELLEVILLE
2015.city,DARPER,DRAPER
19733.fname,oJnny,Jonny
17004.singleexemp,357q5,3575
14913.maritalstatus,zM,M
10760.singleexemp,,0
17891.zip,2904,72904
15820.city,BELL MEAD,BELLE MEAD
11096.phone,3218081,321-8081
11250.singleexemp,h0,0
7589.city,BEVERY HILLS,BEVERLY HILLS
18404.childexemp,***,0
4560.rate,90,9.0
13618.state,CD,DC
12086.marriedexemp,u0,0
1367.lname,Garff,Graff
16274.marriedexemp,,0
13939.city,EULAVILLE,BEULAVILLE
2688.childexemp,,0
1687.marriedexemp,***,0
1797.zip,28v58,2858
7304.gender,***,F
14830.rate,.3,9.3
13671.childexemp,z0,0
10729.marriedexemp,g0,0
3716.phone,279-6690,279-6609
18995.marriedexemp,***,0
687.zip,42g410,42410
1919.fname,la,Hla
4368.maritalstatus,***,M
7116.salary,8500,85000
14004.state,DI,ID
19683.haschild,***,N
16405.salary,45000***,45000
8259.marriedexemp,x0,0
18005.childexemp,***,0
8395.gender,***,F
6600.maritalstatus,,S
11321.gender,***,F
7824.state,D,ID
2937.salary,6000,65000
12661.city,BINGHoAM CANYON,BINGHAM CANYON
331.gender,tF,F
10925.haschild,***,Y
18051.haschild,***,Y
19330.phone,56-54096,565-4096
870.state,MyI,MI
17000.gender,,M
19569.gender,,F
14934.state,D,ID
93.haschild,iN,N
6894.marriedexemp,,0
13993.city,RACEY,GRACEY
19934.haschild,***,N
881.lname,Faradgzev,Faradzev
12246.rate,.75,5.75
10459.lname,Wifling,Wilfing
16025.phone,22-89795,228-9795
8401.lname,Nybegr,Nyberg
12797.state,zDC,DC
17328.state,DI,ID
525.salary,30000***,30000
12042.singleexemp,,0
2733.lname,Tuomenokas,Tuomenoksa
5929.childexemp,***,0
6781.gender,***,M
13388.rate,39,3.9
2144.singleexemp,500,4500
3480.salary,250f00,25000
4818.state,OM,MO
7142.state,DyC,DC
13956.fname,Vbinod,Vinod
19589.singleexemp,2805,2850
12035.areacode,30g1,301
18448.childexemp,***,0
14898.childexemp,***,0
15080.state,D,ID
13697.rate,28.696666,2.8696666
18627.childexemp,***,0
13274.singleexemp,k0,0
