155701.fname,Shireli,Shirlei
26439.marriedexemp,***,0
181772.marriedexemp,***,0
62093.gender,,F
956.gender,lF,F
119969.lname,Mosier,Moshier
154532.singleexemp,***,0
125848.singleexemp,v0,0
162355.haschild,,N
81748.maritalstatus,vS,S
103710.city,ABUQUERQUE,ALBUQUERQUE
167615.maritalstatus,,S
58510.city,FANKENMUTH,FRANKENMUTH
27928.lname,Yaocbi,Yacobi
164312.lname,Caslpi,Caspi
6793.gender,***,M
173093.rate,m6.84,6.84
14928.childexemp,330,3300
132361.city,SAND OINT,SAND POINT
117586.phone,q428-4100,428-4100
49728.singleexemp,,0
4922.state,JN,NJ
144675.state,K,AK
153129.gender,pM,M
187919.fname,Xiyiong,Xiyong
27825.city,yALDER,ALDER
69031.singleexemp,***,0
44680.state,K,AK
88340.marriedexemp,h0,0
60925.singleexemp,,0
86333.state,JN,NJ
16520.singleexemp,850,2850
28245.childexemp,,0
66721.phone,538-b1227,538-1227
31210.haschild,sY,Y
122640.singleexemp,f700,700
30409.singleexemp,,0
126587.haschild,sN,N
70764.salary,4500,45000
148778.haschild,xN,N
155115.marriedexemp,***,0
192936.phone,992-3267,992-3627
182146.marriedexemp,,0
64884.phone,304-388,304-3898
136945.childexemp,e0,0
129319.gender,***,M
14738.state,X,TX
100517.rate,n6.256993,6.256993
186005.phone,560-s3702,560-3702
182138.gender,,M
9805.childexemp,10c00,1000
1425.gender,kF,F
74049.marriedexemp,660,6600
119512.state,gNJ,NJ
93354.singleexemp,y0,0
30497.fname,Conro,Conor
136410.marriedexemp,9000***,9000
40940.fname,Eivzor,Eivor
114243.city,PORT READNG,PORT READING
72813.city,HATRFORD,HARTFORD
149922.rate,.5,3.5
124103.childexemp,***,0
129347.childexemp,d0,0
126425.state,NbJ,NJ
112911.state,nKS,KS
71211.lname,Wichalcz,Wichlacz
112404.salary,20000***,20000
68126.childexemp,1500***,1500
100572.childexemp,g0,0
68038.rate,.60,6.0
115149.zip,664l26,66426
94480.gender,,M
110845.childexemp,e0,0
169377.marriedexemp,,0
199910.rate,4.7070j31,4.707031
7486.childexemp,,0
57073.city,NLSON,NELSON
163923.marriedexemp,k0,0
145343.marriedexemp,,0
44319.childexemp,,0
9178.salary,100000***,100000
165820.marriedexemp,***,0
126059.city,sJEFFREY,JEFFREY
91033.childexemp,p0,0
116549.haschild,,N
182015.lname,Samen,Salmen
67191.childexemp,k0,0
85442.phone,1772467,177-2467
154364.maritalstatus,,S
187032.maritalstatus,vS,S
84597.phone,443-670,443-6700
26969.state,K,AK
123973.childexemp,e0,0
6426.phone,44-2687,644-2687
27861.state,AkK,AK
29829.areacode,23,203
129285.gender,,M
168530.rate,4.298313,4.298331
127775.singleexemp,21t00,2100
125101.city,ABLL,BALL
180168.city,ABUQUERQUE,ALBUQUERQUE
33210.city,BLUE MOUNAIN LAKE,BLUE MOUNTAIN LAKE
14044.phone,8h07-1579,807-1579
494.gender,,F
40409.childexemp,***,0
851.gender,lF,F
19790.singleexemp,***,0
153555.singleexemp,***,0
177409.singleexemp,3300***,3300
27890.zip,48y837,48837
154978.marriedexemp,t0,0
108524.areacode,63,603
22736.childexemp,f0,0
105557.maritalstatus,***,M
47619.city,ALCaOVA,ALCOVA
102338.marriedexemp,v0,0
175723.singleexemp,d0,0
29436.maritalstatus,***,M
69906.singleexemp,3030,3300
45883.rate,00.,0.0
34399.gender,mM,M
42129.childexemp,,0
175243.singleexemp,,0
54098.areacode,70p1,701
55037.city,ABUQUERQUE,ALBUQUERQUE
22266.singleexemp,,0
74780.gender,,F
177465.singleexemp,,0
134496.state,mAK,AK
553.gender,***,F
154500.city,MONTICELjLO,MONTICELLO
100215.areacode,06,406
161210.city,ALBUQUwERQUE,ALBUQUERQUE
110640.city,WINNISQUAM***,WINNISQUAM
103040.zip,9746,99746
117869.singleexemp,***,0
41559.city,ALBUQUERUQE,ALBUQUERQUE
57049.state,K,AK
9129.singleexemp,,0
18532.rate,5h.3,5.3
39158.marriedexemp,c0,0
150454.lname,Frevivalds,Freivalds
177965.phone,9242-128,924-2128
10974.salary,5j5000,55000
17985.fname,Beran,Berna
169955.phone,823-7783***,823-7783
15373.phone,610-4451,610-4415
194455.state,AtK,AK
75692.gender,***,F
145474.state,AsK,AK
172820.zip,68l304,68304
132861.marriedexemp,***,0
109354.state,K,AK
14663.city,ALBUQERQUE,ALBUQUERQUE
104376.childexemp,n0,0
33984.state,JN,NJ
187142.state,Y,KY
62711.zip,6614,66104
169557.childexemp,z0,0
102279.lname,Wongulis,Wogulis
5328.gender,lM,M
160399.state,K,AK
141655.rate,.595,5.95
114723.singleexemp,,0
4997.state,rGA,GA
71605.childexemp,200w0,2000
101625.state,NmJ,NJ
14286.rate,6.57n1678,6.571678
23683.zip,1648,21648
2479.state,C,DC
41660.phone,6w66-9536,666-9536
79017.marriedexemp,g0,0
149604.state,SM,MS
21894.zip,57241,57421
163075.rate,.0,0.0
167408.maritalstatus,***,M
96825.childexemp,s0,0
159016.phone,19x3-5805,193-5805
141196.marriedexemp,d0,0
1396.gender,***,F
19498.haschild,,Y
83144.areacode,20o2,202
102905.marriedexemp,h0,0
125901.gender,,F
163703.singleexemp,130,103
30532.rate,.0,7.0
128497.areacode,3d30,330
98583.phone,870-8374,780-8374
52068.salary,5000,85000
25027.state,SlD,SD
123546.salary,65000***,65000
113359.marriedexemp,***,0
149095.state,MpN,MN
7279.childexemp,,0
100293.marriedexemp,x0,0
117226.city,ALBQUERQUE,ALBUQUERQUE
104474.singleexemp,y0,0
39162.gender,,F
160696.zip,4032,84032
119728.gender,***,M
87759.city,SPRINrGFIELD,SPRINGFIELD
30624.haschild,***,N
132668.marriedexemp,,0
169148.phone,627-g6131,627-6131
13486.city,HOLLAND***,HOLLAND
86513.childexemp,,0
174642.state,J,NJ
178937.singleexemp,3300***,3300
167913.childexemp,,0
198185.marriedexemp,***,0
51791.fname,eir,Geir
37875.zip,85681,85618
14700.salary,30500,35000
192534.state,KA,AK
168001.childexemp,,0
86485.phone,590-70v66,590-7066
186343.city,ALBUQrUERQUE,ALBUQUERQUE
109185.childexemp,***,0
22832.city,SOPIHA,SOPHIA
91963.marriedexemp,z0,0
15082.gender,***,M
108850.city,ALUQUERQUE,ALBUQUERQUE
60168.rate,.0,0.0
121858.haschild,***,Y
97856.salary,5000,75000
10101.phone,179-3991,197-3991
31308.marriedexemp,t0,0
18551.maritalstatus,,S
97847.state,J,NJ
121918.lname,Sxchieder,Schieder
191439.maritalstatus,,S
56612.zip,40593,40953
92567.marriedexemp,z0,0
638.gender,rF,F
124775.fname,ipun,Nipun
176195.salary,2000,20000
156075.state,yMA,MA
4465.zip,5014,5041
105546.fname,Mannhoi,Manhoi
157078.state,KA,AK
124666.state,Y,NY
190373.singleexemp,u0,0
28888.lname,McGoversn,McGovern
51566.childexemp,330w0,3300
34721.childexemp,***,0
74454.phone,6508-493,650-8493
136035.state,KA,AK
161145.zip,1903,19043
111443.marriedexemp,,0
154023.state,C,SC
193761.zip,6006z4,60064
118220.state,J,NJ
171345.city,AbLEX,ALEX
180556.state,yAK,AK
74862.haschild,uN,N
181190.salary,s90000,90000
63325.childexemp,,0
89276.haschild,gN,N
81366.singleexemp,,0
39783.salary,1500,15000
10233.phone,74-4701,764-4701
118885.lname,Iakovev,Iakovlev
25925.areacode,08,808
167643.state,K,AK
134808.salary,55000***,55000
198438.state,kNJ,NJ
125859.singleexemp,***,0
120227.marriedexemp,,0
143290.fname,ok,Rok
45610.marriedexemp,04,40
170836.fname,hirumalai,Thirumalai
151763.maritalstatus,***,S
53118.gender,,F
726.gender,***,F
23024.areacode,y970,970
84822.gender,***,F
95943.zip,23002***,23002
146539.gender,***,M
10141.lname,Fasle,Fasel
102041.singleexemp,***,0
102728.salary,10000***,10000
100882.city,ALUQUERQUE,ALBUQUERQUE
49058.marriedexemp,714,174
157928.singleexemp,13v00,1300
9619.maritalstatus,***,S
191843.rate,5m.0,5.0
60692.city,DAVIiSTON,DAVISTON
106999.childexemp,p0,0
169110.marriedexemp,,0
110997.marriedexemp,***,0
131315.phone,n181-2716,181-2716
85384.fname,Kn,Kan
67340.childexemp,,0
141630.city,ALCOVmA,ALCOVA
83945.state,ApK,AK
160318.city,BAIRNG,BARING
41177.state,J,NJ
153081.gender,***,M
36329.salary,56000,65000
125028.maritalstatus,***,M
198908.singleexemp,v0,0
127579.zip,53861,53816
161606.salary,800v00,80000
29980.zip,0570,20570
25797.state,K,AK
169643.lname,Rarnze,Ranze
900.gender,***,F
175708.marriedexemp,***,0
126225.childexemp,***,0
170098.city,kZAP,ZAP
26841.state,K,AK
149723.childexemp,***,0
115107.areacode,p337,337
145825.city,IKHEI,KIHEI
63286.fname,Heluth,Helmuth
152834.haschild,***,Y
24657.gender,,F
172341.lname,Anugita,Anguita
96708.gender,dM,M
1138.gender,xF,F
124160.fname,Nikdapan,Nidapan
193566.state,J,NJ
158436.haschild,***,Y
110933.maritalstatus,pS,S
61217.zip,4143,48143
53091.state,TU,UT
71674.state,JN,NJ
919.gender,bF,F
17148.areacode,320,302
2671.phone,614-975,614-9475
65558.singleexemp,1e370,1370
33851.singleexemp,,0
118913.city,ALBUUERQUE,ALBUQUERQUE
193325.singleexemp,d0,0
194223.gender,,F
165005.marriedexemp,***,0
689.gender,lF,F
141613.childexemp,00,900
50930.state,KA,AK
49081.phone,5637614,563-7614
1025.gender,gF,F
149268.state,KA,AK
190710.state,jAK,AK
22330.rate,2.21e35036,2.2135036
85712.salary,9000,95000
86076.marriedexemp,6200***,6200
124475.fname,ikola,Nikola
172804.haschild,,Y
41364.lname,aWheen,Wheen
197389.state,mNJ,NJ
97593.childexemp,***,0
164987.haschild,zY,Y
160664.state,K,AK
167928.state,J,NJ
81303.salary,80000***,80000
2556.state,DsC,DC
198202.city,FORT MOHwAVE,FORT MOHAVE
3783.rate,c9.0,9.0
153659.marriedexemp,,0
155844.city,WASHaINGTON,WASHINGTON
129407.salary,n40000,40000
125477.city,ALBUQUEQRUE,ALBUQUERQUE
151498.childexemp,***,0
132677.state,K,AK
120658.singleexemp,***,0
24923.marriedexemp,u0,0
52373.singleexemp,a0,0
47518.singleexemp,***,0
160199.haschild,,Y
52274.state,A,MA
531.areacode,088,808
174361.lname,Roskise,Roskies
1648.state,C,DC
61000.maritalstatus,,M
51938.marriedexemp,,0
161842.rate,z0.0,0.0
69403.childexemp,3100***,3100
72230.city,REVEER,REVERE
60761.state,AtK,AK
31819.zip,853,1853
685.gender,***,F
81392.haschild,***,Y
147839.city,OTER CREEK,OTTER CREEK
192165.phone,6308-393,630-8393
78936.city,ALXE,ALEX
24026.phone,715-68k16,715-6816
192914.fname,oni,Yoni
19090.childexemp,,0
127129.singleexemp,,0
116974.gender,***,F
150784.gender,***,F
186956.fname,Xiaoqu,Xiaoqiu
138615.phone,964-3766,946-3766
98070.city,DEAY,DEARY
63154.rate,0u.0,0.0
138271.lname,Drbaenstott,Drabenstott
150011.singleexemp,t0,0
31034.city,SPRcINGFIELD,SPRINGFIELD
116391.haschild,***,Y
179451.marriedexemp,,0
159814.marriedexemp,20i00,2000
45242.childexemp,,0
67286.areacode,052,502
28726.state,NfJ,NJ
10346.phone,139-7017,139-7071
77944.city,LABUQUERQUE,ALBUQUERQUE
144836.city,ALBURNEqTT,ALBURNETT
49064.gender,uM,M
60761.gender,,F
60518.fname,Hanoafy,Hanafy
181635.lname,Hiraishpi,Hiraishi
31471.childexemp,a0,0
140540.salary,2000,25000
69053.state,NiJ,NJ
117428.haschild,bY,Y
137503.rate,1.8783205,1.8738205
198668.state,JN,NJ
51848.state,KA,AK
129100.haschild,,Y
131303.state,J,NJ
119419.singleexemp,21x00,2100
67678.state,R,PR
161999.state,dAK,AK
20244.state,AG,GA
1282.gender,iF,F
187167.state,KA,AK
1409.gender,***,F
132986.state,KA,AK
115693.state,cIN,IN
156983.lname,Beraft,Becraft
183141.singleexemp,g0,0
151564.childexemp,3100***,3100
140627.maritalstatus,qM,M
141106.salary,g40000,40000
154724.singleexemp,e0,0
73277.singleexemp,300,3300
53090.phone,8c75-7814,875-7814
34562.fname,Demetir,Demetri
83460.city,WIoLMINGTON,WILMINGTON
19973.singleexemp,m0,0
87372.city,ALBUQUEQUE,ALBUQUERQUE
135129.singleexemp,p0,0
153215.singleexemp,y0,0
159732.areacode,3g19,319
37423.marriedexemp,,0
70978.fname,Indrait,Indrajit
52613.state,jAK,AK
37669.childexemp,***,0
1513.state,C,DC
49313.areacode,760,706
31452.childexemp,,0
78487.gender,sF,F
9530.zip,16893,16839
17970.marriedexemp,***,0
181615.salary,7000,70000
85973.areacode,05,205
47810.singleexemp,100e0,1000
161492.fname,Srinivasatn,Srinivasan
81265.city,DNEVER,DENVER
139511.zip,2971,29721
174500.lname,Crueecy,Creecy
44709.maritalstatus,***,M
26661.zip,9937,99637
35317.singleexemp,,0
192452.rate,.0,0.0
77370.rate,8.52,8.25
172787.marriedexemp,d0,0
66590.marriedexemp,x0,0
51320.marriedexemp,,0
133268.singleexemp,3557,3575
136280.salary,5000,45000
194727.childexemp,i0,0
26143.singleexemp,1000***,1000
66440.lname,Hsoaka,Hosaka
128337.childexemp,1p900,1900
130844.salary,6000f0,60000
39622.state,K,AK
42531.lname,Vovskamp,Voskamp
41843.childexemp,***,0
23792.state,kAK,AK
189507.phone,f792-4775,792-4775
40662.childexemp,s0,0
7365.phone,80-2402,800-2402
15626.fname,aBldomir,Baldomir
28995.salary,02000,20000
91852.city,HORS CREEK,HORSE CREEK
89452.marriedexemp,,0
133429.city,OLKAHOMA CITY,OKLAHOMA CITY
158997.childexemp,***,0
677.gender,***,F
53576.salary,45000***,45000
33085.salary,2g5000,25000
76012.haschild,,Y
72303.singleexemp,,0
45438.lname,uskens,Buskens
1413.gender,***,F
64604.lname,Daughtry,Daughtrey
45455.rate,70.,7.0
61997.fname,Hrauna,Haruna
106391.phone,5758871,575-8871
43650.singleexemp,***,0
72822.marriedexemp,m0,0
138013.marriedexemp,***,0
89988.gender,***,M
43574.salary,850j00,85000
33751.childexemp,1c200,1200
551.gender,***,F
160336.fname,Sopqhie,Sophie
64067.city,ALBUNETT,ALBURNETT
150427.maritalstatus,dM,M
49009.phone,240-2l137,240-2137
93108.maritalstatus,qS,S
92678.marriedexemp,,0
55127.gender,,F
183112.marriedexemp,d0,0
19573.salary,45000***,45000
74077.childexemp,***,0
76598.maritalstatus,***,M
15144.zip,96822***,96822
165455.state,K,AK
73798.childexemp,,0
34224.lname,Ballucih,Balluchi
139698.zip,544b02,54402
25883.gender,***,M
135102.marriedexemp,x0,0
121026.marriedexemp,,0
115521.fname,Miroslaav,Miroslava
76608.city,ALUBQUERQUE,ALBUQUERQUE
161239.singleexemp,***,0
121796.marriedexemp,***,0
11895.rate,u9.0,9.0
13688.rate,4.9472854,4.4972854
2580.state,C,DC
110190.maritalstatus,***,M
83293.singleexemp,,0
63007.state,CeA,CA
8095.childexemp,72,272
76742.maritalstatus,,S
35001.haschild,,Y
529.gender,***,F
151902.maritalstatus,rS,S
45990.city,GLNE,GLEN
52510.childexemp,***,0
40679.gender,nM,M
119864.phone,09-3496,909-3496
40119.lname,arvinok,Barvinok
151555.rate,u6.0,6.0
1408.gender,***,F
61118.state,K,AK
24458.childexemp,k0,0
172049.childexemp,02,20
173307.city,ALBUQUEvRQUE,ALBUQUERQUE
49181.phone,576h-1238,576-1238
140394.state,cKY,KY
119738.rate,60.,6.0
189323.singleexemp,***,0
77522.city,ALCOLtU,ALCOLU
190812.state,KA,AK
47664.phone,872-42m91,872-4291
87909.marriedexemp,f0,0
152500.singleexemp,,0
104381.rate,w0.0,0.0
162284.maritalstatus,vS,S
122600.rate,.0,0.0
80292.marriedexemp,800,1800
26793.childexemp,,0
199966.singleexemp,,0
7121.gender,kF,F
26946.childexemp,,0
144757.phone,126k-2301,126-2301
92537.city,ADLEN,ALDEN
152204.marriedexemp,g0,0
161457.lname,teffens,Steffens
71630.state,JN,NJ
84641.city,SAN JUNA,SAN JUAN
39754.zip,96874,96784
169973.state,J,NJ
190806.areacode,41x0,410
40535.gender,***,M
100511.city,MILFzORD,MILFORD
52601.marriedexemp,***,0
10797.phone,986-224v1,986-2241
164276.singleexemp,,0
145090.zip,7629,77629
147572.marriedexemp,,0
17058.fname,Behnaaem,Behnaam
27152.phone,98a9-3946,989-3946
142572.lname,Aseltie,Aseltine
36811.childexemp,j0,0
118956.areacode,54,754
159051.marriedexemp,,0
25865.salary,5000,65000
133209.childexemp,1000***,1000
97022.city,LAKE ARK,LAKE PARK
108920.zip,0730,40730
136896.childexemp,,0
86784.marriedexemp,z0,0
140830.haschild,***,Y
180855.zip,6462,64622
86696.zip,9r9637,99637
76285.zip,9756,97526
44309.singleexemp,***,0
148853.state,N,TN
145713.childexemp,***,0
156387.childexemp,***,0
168033.lname,Hebidecker,Heidecker
39615.lname,Emmmerich,Emmerich
140180.marriedexemp,200,2080
132189.lname,Ziaudin,Ziauddin
618.gender,rF,F
125430.rate,50,5.0
967.gender,,F
188397.phone,22-25536,222-5536
25779.state,JN,NJ
28824.areacode,907,970
18401.state,K,AK
136661.state,wNJ,NJ
33748.phone,20-3697,520-3697
21677.areacode,8u60,860
32547.marriedexemp,***,0
51413.maritalstatus,,S
197036.areacode,63,863
23001.rate,5b.0,5.0
191256.phone,324-102,324-8102
49810.gender,***,M
194075.state,AjK,AK
91955.fname,iyoshi,Kiyoshi
96666.zip,97895,97859
68274.city,OMUNTAIN VIEW,MOUNTAIN VIEW
90003.singleexemp,***,0
101363.lname,Muravshita,Murashita
14338.areacode,80,860
22384.state,lKY,KY
731.gender,***,F
16589.fname,asim,Basim
1115.gender,,F
174398.areacode,64p1,641
179329.lname,iSmha,Simha
194119.city,HOWLL,HOWELL
97062.haschild,,N
169409.state,IbA,IA
61078.fname,Hanspetcer,Hanspeter
152611.marriedexemp,,0
78490.gender,zF,F
1019.gender,,F
156438.state,VN,NV
82574.phone,231-4495,213-4495
126912.marriedexemp,***,0
678.gender,***,F
152147.marriedexemp,o0,0
128487.state,X,TX
181697.city,HARVY,HARVEY
192712.state,uNJ,NJ
62987.state,uAK,AK
156268.phone,68-9848,968-9848
1270.gender,,F
40630.gender,***,F
135205.marriedexemp,***,0
123317.salary,45000***,45000
88581.maritalstatus,tS,S
186864.haschild,***,N
150688.state,K,AK
126947.zip,9912,99212
84140.maritalstatus,wM,M
1169.haschild,,Y
196647.singleexemp,t0,0
156270.childexemp,,0
172248.haschild,,Y
147381.haschild,***,N
75464.state,J,NJ
2502.state,jDC,DC
20923.state,nNJ,NJ
187030.city,ALBUQaUERQUE,ALBUQUERQUE
68812.rate,2.818183,2.8818183
145413.maritalstatus,,S
81364.zip,68847,68874
7751.areacode,61y4,614
166069.haschild,,N
45837.phone,911-9780,911-7980
182823.areacode,70,770
118933.fname,Muralidar,Muralidhar
59294.city,FAIRIELD,FAIRFIELD
730.gender,yF,F
155105.rate,0.g0,0.0
554.gender,***,F
171584.singleexemp,***,0
53531.marriedexemp,***,0
50021.phone,228-8941,228-8491
10518.state,WuI,WI
148492.marriedexemp,6600***,6600
54682.fname,Gjisli,Gisli
1399.gender,***,F
163722.childexemp,1q000,1000
37057.salary,v50000,50000
131500.lname,Daqo,Dao
144356.marriedexemp,,0
106450.maritalstatus,eS,S
183615.maritalstatus,,S
99601.marriedexemp,,0
82238.state,K,AK
158123.city,ALBUQUERgQUE,ALBUQUERQUE
66959.zip,0248,80248
111776.city,WAIOLOA,WAIKOLOA
148903.state,K,AK
35568.gender,,M
17778.childexemp,000,2000
51004.fname,Gaesh,Ganesh
164685.marriedexemp,4020,4200
15576.rate,.73486843,7.3486843
131162.state,K,AK
558.gender,pF,F
1340.gender,,F
126086.singleexemp,,0
178337.phone,221-7c029,221-7029
157983.phone,172-492,172-2492
166052.childexemp,,0
123765.gender,***,M
190522.marriedexemp,,0
92147.maritalstatus,,M
177917.singleexemp,,0
76114.childexemp,***,0
97379.rate,.3,5.3
125659.lname,Haafy,Hanafy
84694.gender,,M
95173.haschild,,Y
1196.gender,***,F
44303.rate,4.916739,4.916379
191387.haschild,,Y
114537.haschild,,N
135164.gender,,M
1122.gender,,F
166163.gender,uM,M
146360.fname,aSdamu,Sadamu
127077.state,yAK,AK
37514.singleexemp,***,0
100850.childexemp,2l0,20
32578.singleexemp,***,0
130898.singleexemp,1275m0,12750
163830.singleexemp,e0,0
1331.gender,,F
95896.city,WOLBACrH,WOLBACH
124552.rate,j3.0,3.0
98971.childexemp,,0
914.gender,,F
526.gender,***,F
88031.fname,Kazuomi,Kazumi
98557.city,ALUQUERQUE,ALBUQUERQUE
18700.state,eAK,AK
1203.gender,***,F
195993.marriedexemp,***,0
175103.marriedexemp,***,0
35617.childexemp,***,0
199633.singleexemp,***,0
164033.lname,Iwdanski,Iwanski
84702.areacode,710,701
85842.marriedexemp,***,0
68127.zip,8321,83271
27727.lname,oRzoy,Rozoy
189667.haschild,***,N
67640.singleexemp,300,3300
68742.zip,350s36,35036
43775.marriedexemp,t0,0
175746.singleexemp,k0,0
120576.childexemp,c0,0
110375.phone,570-c7393,570-7393
115292.marriedexemp,q0,0
158545.singleexemp,900***,900
188183.singleexemp,w0,0
75792.phone,917-4614,971-4614
725.gender,***,F
103387.fname,Macah,Macha
32437.salary,l50000,50000
74870.city,ACSA GRANDE,CASA GRANDE
436.gender,***,F
40386.childexemp,2250***,2250
73724.marriedexemp,j0,0
142053.marriedexemp,600,6600
31876.singleexemp,***,0
55928.zip,58031,58301
85245.singleexemp,x0,0
71043.state,KA,AK
161298.lname,wOlivero,Olivero
118653.gender,***,M
163217.city,ELEB,ELBE
99199.singleexemp,***,0
3116.phone,01-1450,301-1450
852.gender,,F
84416.phone,94i9-1278,949-1278
119336.childexemp,***,0
17610.city,ALDICH,ALDRICH
23290.areacode,66,636
48799.childexemp,i0,0
165134.phone,01-5371,101-5371
179006.city,ALBUQEURQUE,ALBUQUERQUE
23566.fname,Crai,Cari
146019.state,KA,AK
176839.rate,s3.75,3.75
194969.areacode,20o2,202
9207.fname,Antni,Anni
166995.city,LXINGTON,LEXINGTON
176086.salary,5000***,5000
16432.childexemp,***,0
14052.childexemp,20y00,2000
21941.lname,uLan,Luan
100752.lname,Betl,Belt
45255.areacode,974,947
169538.zip,96862,96826
21252.state,AtK,AK
6651.marriedexemp,7240,2740
84056.marriedexemp,***,0
182754.areacode,235,253
18294.childexemp,10z00,1000
97616.marriedexemp,***,0
67425.childexemp,***,0
44963.state,IH,HI
32688.zip,9025,59025
72955.state,E,ME
153898.areacode,630,603
87277.lname,Crlouatre,Clouatre
1275.gender,,F
197270.singleexemp,x0,0
122401.childexemp,,0
59732.lname,Trzemwik,Trzewik
191828.state,nNJ,NJ
114410.lname,saksen,Isaksen
64591.gender,qM,M
128592.marriedexemp,,0
162436.fname,Sterios,Stergios
130234.childexemp,02,20
104677.city,ALBUQUERQEU,ALBUQUERQUE
191793.marriedexemp,b0,0
39909.city,ALBQUUERQUE,ALBUQUERQUE
20981.state,KA,AK
56296.phone,2926-181,292-6181
101259.maritalstatus,bM,M
148607.state,K,AK
189811.childexemp,***,0
34848.salary,0000,30000
151787.fname,Sevet,Servet
66950.singleexemp,q0,0
1277.gender,***,F
97598.salary,65000***,65000
74629.state,JN,NJ
74655.lname,Matzvo,Matzov
33533.state,JN,NJ
48386.singleexemp,***,0
39063.city,LABUQUERQUE,ALBUQUERQUE
123518.phone,747-z8951,747-8951
130586.areacode,340,304
188849.state,AgK,AK
58201.singleexemp,02,20
1397.gender,,F
29731.salary,5000,75000
20088.childexemp,h0,0
557.gender,nF,F
145222.lname,Koschutzik,Koschutzki
98524.zip,6959,60959
110878.city,BIRMIxNGHAM,BIRMINGHAM
80536.phone,653-2821,653-2812
131068.haschild,***,Y
78608.rate,60,6.0
86017.zip,5y7751,57751
195061.childexemp,g0,0
24710.state,JN,NJ
4000.zip,54572,55472
183671.areacode,7l85,785
40929.lname,Kikelis,Krikelis
11097.fname,Arisotle,Aristotle
137764.fname,Rajai,Rajani
37182.city,ALBUQUERQUcE,ALBUQUERQUE
189059.zip,25211***,25211
158866.haschild,mN,N
191138.maritalstatus,qM,M
51979.childexemp,***,0
24854.salary,950b00,95000
152816.marriedexemp,o0,0
83117.state,bNJ,NJ
10530.childexemp,,0
93422.marriedexemp,7105,7150
14825.childexemp,***,0
124909.state,xCO,CO
38905.singleexemp,10,110
91168.singleexemp,***,0
111168.areacode,j573,573
152415.haschild,vN,N
19447.zip,0175,30175
127471.gender,***,M
89761.city,LDA,ALDA
61099.state,RA,AR
199142.marriedexemp,,0
97039.childexemp,,0
84181.marriedexemp,v0,0
91583.childexemp,r0,0
11241.rate,.0,0.0
83195.marriedexemp,400,4500
18724.phone,74-1016,754-1016
77075.salary,1000,10000
1028.gender,,F
75018.state,AtK,AK
190922.childexemp,,0
69562.state,AbK,AK
113310.singleexemp,***,0
68109.phone,76-2988,760-2988
627.gender,,F
105167.state,J,NJ
93940.zip,81959,89159
45596.singleexemp,z0,0
13238.fname,Athahr,Athar
123133.lname,Ayai,Ayani
23895.haschild,aY,Y
58627.singleexemp,q0,0
136699.state,KA,AK
65252.singleexemp,***,0
173001.marriedexemp,,0
36278.areacode,081,801
17805.childexemp,,0
180272.singleexemp,***,0
116345.salary,7j5000,75000
78126.state,KA,AK
1402.gender,,F
147922.fname,Sampehl,Samphel
178243.salary,450r00,45000
55220.childexemp,2040,2400
199840.childexemp,,0
14653.gender,yM,M
187898.state,NjJ,NJ
142408.phone,9706389,970-6389
727.gender,,F
174089.state,K,AK
160359.state,CS,SC
115192.childexemp,y0,0
141281.marriedexemp,c0,0
68231.salary,40000***,40000
51341.city,ALdCOVA,ALCOVA
140420.city,ALBUQUERQE,ALBUQUERQUE
55124.lname,Fegesa,Fegeas
50660.lname,MacRobkert,MacRobert
165902.singleexemp,t0,0
961.gender,,F
137571.childexemp,***,0
28949.phone,52m5-3239,525-3239
25283.lname,Cleeland,Cleveland
190980.zip,720h79,72079
166431.city,AdLBUQUERQUE,ALBUQUERQUE
120514.childexemp,10x00,1000
86282.gender,***,F
50209.rate,00.,0.0
141034.rate,l5.0,5.0
130297.city,ALBUQUERQUkE,ALBUQUERQUE
176613.state,NeJ,NJ
95938.lname,Bartlrey,Bartley
75730.city,ALBURHG,ALBURGH
41702.marriedexemp,***,0
25659.state,K,AK
148050.state,rWV,WV
131975.haschild,,Y
26695.maritalstatus,wM,M
128166.childexemp,,0
555.gender,mF,F
97604.childexemp,3300***,3300
54574.singleexemp,c0,0
23095.marriedexemp,r0,0
166730.maritalstatus,***,M
110711.childexemp,***,0
195135.areacode,02,602
195362.childexemp,***,0
15832.singleexemp,i0,0
110558.singleexemp,***,0
125427.rate,57222223,5.7222223
138976.city,LOW MOgOR,LOW MOOR
47336.childexemp,***,0
146350.singleexemp,3030,3300
82024.state,JN,NJ
85016.childexemp,v0,0
99449.state,T,VT
169042.city,ABUQUERQUE,ALBUQUERQUE
176905.salary,20000***,20000
135980.state,JN,NJ
1321.gender,***,F
1159.gender,,F
134497.fname,rasenjit,Prasenjit
24311.childexemp,,0
1411.gender,***,F
27672.marriedexemp,66z00,6600
129704.city,STERLIfNGTON,STERLINGTON
70713.state,hDE,DE
172480.haschild,***,Y
179217.city,ALUQUERQUE,ALBUQUERQUE
156976.state,CgO,CO
61178.city,fALCOLU,ALCOLU
120847.maritalstatus,***,M
96691.city,ALBUsQUERQUE,ALBUQUERQUE
168024.areacode,36,636
34951.gender,,M
135574.city,ALBUQUERQpUE,ALBUQUERQUE
46710.maritalstatus,***,S
153366.state,K,AK
76487.city,ALX,ALEX
86.phone,625-8307,625-3807
159937.city,ALBUQUERQE,ALBUQUERQUE
